GEOID,Census_Tract,County,State,Total,Total_Owner,Owner_plumbing,Owner_no_plumbing,Total_Renter,Renter_plumbing,Renter_no_plumbing
36005000100,Census Tract 1, Bronx,0,0,0,0,0,0,0,
36005000200,Census Tract 2, Bronx, New York,1340,776,776,0,564,551,13,
36005000400,Census Tract 4, Bronx, New York,2110,1549,1549,0,561,547,14,
36005001600,Census Tract 16, Bronx, New York,2153,259,259,0,1894,1894,0,
36005001901,Census Tract 19.01, Bronx, New York,784,8,8,0,776,776,0,
36005001902,Census Tract 19.02, Bronx, New York,329,60,60,0,269,269,0,
36005001903,Census Tract 19.03, Bronx, New York,0,0,0,0,0,0,0,
36005001904,Census Tract 19.04, Bronx, New York,0,0,0,0,0,0,0,
36005002001,Census Tract 20.01, Bronx, New York,1654,0,0,0,1654,1654,0,
36005002002,Census Tract 20.02, Bronx, New York,1865,576,576,0,1289,1289,0,
36005002300,Census Tract 23, Bronx, New York,1874,0,0,0,1874,1867,7,
36005002400,Census Tract 24, Bronx, New York,0,0,0,0,0,0,0,
36005002500,Census Tract 25, Bronx, New York,1932,68,68,0,1864,1818,46,
36005002701,Census Tract 27.01, Bronx, New York,1027,2,2,0,1025,1003,22,
36005002702,Census Tract 27.02, Bronx, New York,1470,16,16,0,1454,1433,21,
36005002800,Census Tract 28, Bronx, New York,2401,324,324,0,2077,2077,0,
36005003100,Census Tract 31, Bronx, New York,687,104,104,0,583,583,0,
36005003300,Census Tract 33, Bronx, New York,1208,104,104,0,1104,1075,29,
36005003500,Census Tract 35, Bronx, New York,1374,67,67,0,1307,1307,0,
36005003700,Census Tract 37, Bronx, New York,145,0,0,0,145,145,0,
36005003800,Census Tract 38, Bronx, New York,333,145,145,0,188,188,0,
36005003900,Census Tract 39, Bronx, New York,2241,53,53,0,2188,2117,71,
36005004001,Census Tract 40.01, Bronx, New York,489,201,201,0,288,288,0,
36005004100,Census Tract 41, Bronx, New York,2254,277,277,0,1977,1977,0,
36005004200,Census Tract 42, Bronx, New York,2875,436,436,0,2439,2439,0,
36005004300,Census Tract 43, Bronx, New York,2129,167,167,0,1962,1962,0,
36005004400,Census Tract 44, Bronx, New York,1599,54,54,0,1545,1545,0,
36005004600,Census Tract 46, Bronx, New York,697,181,181,0,516,516,0,
36005004800,Census Tract 48, Bronx, New York,1455,126,126,0,1329,1329,0,
36005005001,Census Tract 50.01, Bronx, New York,1379,171,171,0,1208,1189,19,
36005005002,Census Tract 50.02, Bronx, New York,1994,147,147,0,1847,1824,23,
36005005100,Census Tract 51, Bronx, New York,2151,0,0,0,2151,2072,79,
36005005200,Census Tract 52, Bronx, New York,828,66,66,0,762,762,0,
36005005300,Census Tract 53, Bronx, New York,1786,0,0,0,1786,1786,0,
36005005400,Census Tract 54, Bronx, New York,1713,281,281,0,1432,1366,66,
36005005600,Census Tract 56, Bronx, New York,886,189,189,0,697,697,0,
36005005902,Census Tract 59.02, Bronx, New York,1109,312,312,0,797,797,0,
36005006000,Census Tract 60, Bronx, New York,370,56,56,0,314,314,0,
36005006100,Census Tract 61, Bronx, New York,2071,854,854,0,1217,1217,0,
36005006200,Census Tract 62, Bronx, New York,2506,86,86,0,2420,2352,68,
36005006301,Census Tract 63.01, Bronx, New York,1941,329,329,0,1612,1568,44,
36005006302,Census Tract 63.02, Bronx, New York,0,0,0,0,0,0,0,
36005006400,Census Tract 64, Bronx, New York,1389,345,345,0,1044,1023,21,
36005006500,Census Tract 65, Bronx, New York,1921,55,55,0,1866,1823,43,
36005006700,Census Tract 67, Bronx, New York,2468,100,100,0,2368,2368,0,
36005006800,Census Tract 68, Bronx, New York,978,251,251,0,727,727,0,
36005006900,Census Tract 69, Bronx, New York,2844,233,233,0,2611,2545,66,
36005007000,Census Tract 70, Bronx, New York,1285,321,321,0,964,937,27,
36005007100,Census Tract 71, Bronx, New York,1074,373,373,0,701,605,96,
36005007200,Census Tract 72, Bronx, New York,1729,400,400,0,1329,1329,0,
36005007300,Census Tract 73, Bronx, New York,1434,20,20,0,1414,1414,0,
36005007400,Census Tract 74, Bronx, New York,1330,566,566,0,764,750,14,
36005007500,Census Tract 75, Bronx, New York,2235,413,413,0,1822,1818,4,
36005007600,Census Tract 76, Bronx, New York,1780,468,468,0,1312,1302,10,
36005007700,Census Tract 77, Bronx, New York,575,173,173,0,402,402,0,
36005007800,Census Tract 78, Bronx, New York,2211,519,519,0,1692,1692,0,
36005007900,Census Tract 79, Bronx, New York,2345,51,51,0,2294,2195,99,
36005008300,Census Tract 83, Bronx, New York,2187,344,344,0,1843,1843,0,
36005008400,Census Tract 84, Bronx, New York,982,710,710,0,272,272,0,
36005008500,Census Tract 85, Bronx, New York,2128,335,335,0,1793,1793,0,
36005008600,Census Tract 86, Bronx, New York,1537,273,273,0,1264,1256,8,
36005008700,Census Tract 87, Bronx, New York,2056,65,65,0,1991,1972,19,
36005008900,Census Tract 89, Bronx, New York,1217,97,97,0,1120,1120,0,
36005009000,Census Tract 90, Bronx, New York,1178,247,247,0,931,897,34,
36005009200,Census Tract 92, Bronx, New York,1879,476,476,0,1403,1403,0,
36005009301,Census Tract 93.01, Bronx, New York,1684,114,114,0,1570,1570,0,
36005009302,Census Tract 93.02, Bronx, New York,0,0,0,0,0,0,0,
36005009600,Census Tract 96, Bronx, New York,800,271,271,0,529,529,0,
36005009800,Census Tract 98, Bronx, New York,1595,673,673,0,922,922,0,
36005011000,Census Tract 110, Bronx, New York,0,0,0,0,0,0,0,
36005011502,Census Tract 115.02, Bronx, New York,1348,78,78,0,1270,1247,23,
36005011701,Census Tract 117.01, Bronx, New York,474,23,23,0,451,451,0,
36005011702,Census Tract 117.02, Bronx, New York,0,0,0,0,0,0,0,
36005011800,Census Tract 118, Bronx, New York,1596,974,974,0,622,609,13,
36005011900,Census Tract 119, Bronx, New York,1763,101,101,0,1662,1662,0,
36005012101,Census Tract 121.01, Bronx, New York,941,227,227,0,714,687,27,
36005012102,Census Tract 121.02, Bronx, New York,533,12,12,0,521,519,2,
36005012300,Census Tract 123, Bronx, New York,1510,145,145,0,1365,1365,0,
36005012500,Census Tract 125, Bronx, New York,1260,305,305,0,955,955,0,
36005012701,Census Tract 127.01, Bronx, New York,732,150,150,0,582,582,0,
36005012901,Census Tract 129.01, Bronx, New York,1590,90,90,0,1500,1500,0,
36005013000,Census Tract 130, Bronx, New York,461,281,281,0,180,180,0,
36005013100,Census Tract 131, Bronx, New York,2098,214,214,0,1884,1884,0,
36005013200,Census Tract 132, Bronx, New York,2596,1662,1662,0,934,934,0,
